Name, Joint 1, Joint 2, Joint 3, Joint 4, Joint 5 , Joint 6, Joint 7, Unit
":math:`q_{max}`", 2.3476, 1.5454, 2.4937, -0.4226, 2.5100, 4.2841, 2.7045, :math:`\text{rad}`
":math:`q_{min}`", -2.3476, -1.5454, -2.4937, -2.7714, -2.5100,  0.7773, -2.7045, :math:`\text{rad}`
":math:`\dot{q}_{max}`", 2, 1, 1.5, 1.25, 3, 1.5, 3, :math:`\frac{\text{rad}}{\text{s}}`
